T1_ET_Intensity_MeanAbsoluteDeviation,T1_ET_Intensity_Variance,T1_ET_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1_ET_Histogram_Bins-16_Bins-16_Bin-5_Probability,T1_ET_Histogram_Bins-16_Bins-16_Bin-7_Probability,T1_ET_Histogram_Bins-16_Bins-16_InterQuartileRange,T1_ET_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_ET_Morphologic_Flatness,T1_ET_Morphologic_Roundness,T1_ET_GLCM_Bins-16_Radius-1_AutoCorrelation,T1_ET_NGTDM_Complexity,T1GD_ET_Intensity_Mode,T1GD_ET_Histogram_Bins-16_Bins-16_Bin-11_Probability,T1GD_ET_Histogram_Bins-16_Bins-16_Bin-1_Frequency,T1GD_ET_Morphologic_Flatness,T1GD_ET_Morphologic_Roundness,T1GD_ET_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,T1GD_ET_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T2_ET_Intensity_StandardDeviation,T2_ET_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T2_ET_Histogram_Bins-16_Bins-16_Bin-2_Probability,T2_ET_Histogram_Bins-16_Bins-16_Bin-4_Frequency,T2_ET_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T2_ET_Histogram_Bins-16_Bins-16_NinetyFifthPercentile,T2_ET_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,T2_ET_Histogram_Bins-16_Bins-16_SeventyFifthPercentile,T2_ET_Morphologic_Flatness,T2_ET_Morphologic_Roundness,T2_ET_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelVariance,T2_ET_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,T2_ET_GLSZM_Bins-16_Radius-1_ZoneSizeNonUniformity
-9.614697666e-13,195.7430531,2,0.1213430347,0.1481734122,3,0.3847961194,1.20148604,0.3827656166,17334.20957,937.4028297,67,0.03008943459,703,1.20148604,0.3827656166,0.9906114207,0.07193135753,0.04097881996,6.216511685,0.2460040047,18.32817575,2,0.008943459148,1028,0.5395634379,148.0271158,156.7019749,8,1.20148604,0.3827656166,0.9735971651,43.29032258,0.09974728705,9.282698719,0.4859459314,100.8801843
-8.74611267e-14,184.192084,6,0.02916747151,0.1122271586,2,-0.1168630481,1.273033503,0.5180809847,18374.34452,1154.183776,74,0.06277767047,30,1.273033503,0.5180809847,0.9783543878,0.043890151,0.02797093498,5.876297161,0.2984457619,23.79479776,12,0.06065288777,1368,0.9644581804,155.6843036,175.8084291,6,1.273033503,0.5180809847,0.946010684,17.25550661,0.07601544761,15.2332473,0.5437950871,63.13215859
9.512294828000001e-14,363.4227187,2,0.153329539,0.17535572,3,-0.3004553216,1.221466686,0.3296314625,10518.43755,869.1917595,80,0.004610130905,144,1.221466686,0.3296314625,0.9967147799,0.05818116916,0.03549791075,5.74776238,0.3081067329,23.83475085,1,0.068696642,4217,0.6459305635,145.317098,163.0220049,6,1.221466686,0.3296314625,0.9834899802,55.56946827,0.09531641212,11.92591111,0.5244574959,150.2830189
1.156156121e-13,397.4008782,13,0.1938377535,0.09555382215,3,0.3989859594,1.158480536,0.2665679228,7417.944096,679.5620828,70,0.009750390016,88,1.158480536,0.2665679228,0.9794223768,0.07663268665,0.05212797495,5.763617092,0.3063969485,20.07116959,9,0.007800312012,141,-0.1361154446,128.0617702,136.1351351,10,1.158480536,0.2665679228,0.9828566931,45.05349794,0.09270267066,9.078261275,0.5166252224,122.6748971
-1.438779297e-12,331.6944243,19,0.135216079,0.3060670582,1,-0.4673717214,1.386043469,0.2376144297,4612.227055,909.8232333,93,0.0321252252,448,1.386043469,0.2376144297,0.9991384487,0.05085905949,0.03204696411,6.193249133,0.2931095085,29.94329733,12,0.002526966003,482,-0.3740845598,183.5863153,193.1426299,10,1.386043469,0.2376144297,0.9753550033,62.40392157,0.08157375368,11.66273826,0.4167044888,137.6535948
1.017354995e-13,178.0324752,7,0.04914766438,0.1642683197,2,0.1935798096,1.331872413,0.3101373137,13018.4566,1064.502393,80,0.004383440337,468,1.331872413,0.3101373137,0.9960511348,0.1120546603,0.08144882538,5.536364999,0.3352531452,22.33079128,88,0.006641576267,928,0.2474208545,162.8748963,168.7235622,10,1.331872413,0.3101373137,0.9841401721,41.37121212,0.07835456841,13.38317479,0.511115943,130.9886364
-3.519687319e-13,806.9629875,3,0.3010409152,0.147170978,2,0.1954034835,1.177883487,0.4584569298,4857.602527,842.1709833,87,0.005256106359,38,1.177883487,0.4584569298,0.9574814254,0.05919878975,0.03633728175,5.887791509,0.2746957459,22.62200577,12,0.02957848088,935,-0.05451922086,128.3535469,150.8669528,7,1.177883487,0.4584569298,0.929829375,42.08453608,0.08677223935,10.97623127,0.4927637527,113.4412371
-3.008815401e-13,255.7394237,4,0.1421498163,0.2058776553,3,-0.2659319598,1.382439868,0.315851029,7859.929924,879.7466943,76,0.009583133685,12,1.382439868,0.315851029,0.986071054,0.04453803019,0.02846748695,5.719061787,0.2871751403,19.94473357,5,0.07538731832,616,-0.3234307619,135.4548345,143.8,7,1.382439868,0.315851029,0.9748455624,27.46418338,0.07869393519,13.52189227,0.5032632075,84.84527221
-9.846386606e-16,157.3852591,5,0.1057041573,0.2579761521,2,-0.1405091847,1.405033416,0.7580011878,8213.947688,901.5811788,137,0.08572349339,111,1.405033416,0.7580011878,0.9919142522,0.05444937836,0.03217750185,6.075525496,0.2557825361,17.65923866,5,0.01772478247,563,-0.1318079278,154.8449373,161.192053,9,1.405033416,0.7580011878,0.963575763,18.35746606,0.0830654573,12.24508098,0.4727691473,48.19457014
1.099654226e-12,449.9845044,2,0.04845214883,0.2063623494,2,0.1332033441,1.407659041,0.3101628863,10481.81905,1080.437917,78,0.003739416117,1216,1.407659041,0.3101628863,0.993034755,0.09999400974,0.06501653781,5.980097344,0.2979182029,23.0359999,6,0.07868799915,5743,0.3961110072,130.9606749,140.3752643,7,1.407659041,0.3101628863,0.9749970819,67.44957473,0.08195574086,12.33367241,0.5600591663,241.126367
9.6954993e-14,114.6686923,2,0.08510638298,0.2603917148,2,0.2298858673,1.082999787,0.478876177,8440.167974,961.4808616,121,0.03987600395,139,1.082999787,0.478876177,0.9948060534,0.04878430844,0.02959390191,6.145457725,0.2739824649,15.84459585,25,0.002888544455,207,-0.06199802734,145.3349787,149.666087,11,1.082999787,0.478876177,0.9736681316,34.36585366,0.08381915526,12.77756692,0.4811622053,90.50731707
