FLAIR_NC_Intensity_MedianAbsoluteDeviation,FLAIR_NC_Intensity_Mode,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-2_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Mode,FLAIR_NC_GLCM_Bins-16_Radius-1_Contrast,FLAIR_NC_NGTDM_Complexity,T1_NC_Intensity_MeanAbsoluteDeviation,T1_NC_Intensity_Range,T1_NC_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1_NC_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T1_NC_Histogram_Bins-16_Bins-16_Kurtosis,T1_NC_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,T1_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_NC_GLSZM_Bins-16_Radius-1_ZoneSizeMean,T1_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T1_NC_NGTDM_Complexity,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-10_Frequency,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-15_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-1_Frequency,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-1_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-5_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1GD_NC_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,T1GD_NC_GLCM_Bins-16_Radius-1_Contrast,T1GD_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,T1GD_NC_GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis,T1GD_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T2_NC_Intensity_Maximum,T2_NC_Intensity_NinetiethPercentile,T2_NC_Intensity_RootMeanSquare,T2_NC_Histogram_Bins-16_Bins-16_Bin-10_Probability,T2_NC_Histogram_Bins-16_Bins-16_InterQuartileRange,T2_NC_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,T2_NC_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,T2_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis
-6.873307879,161,144,8,5.339216787,829.6348764,6.522392638e-14,126,15,2,3.659537933,-4.719276379e-14,-0.4588684485,13.9178744,0.3163434386,517.7431459,283,0.0006942034016,112,0.03887539049,0.09094064561,-0.4019437695,90.11290323,6.033230402,0.6109510694,65.93689608,0.345945679,234,213,177.1796408,0.1051718153,5,5.617443338e-14,0.2631578947,0.4768688629
-0.9524270502,163,14,10,2.597086686,1302.932953,-8.459104128000001e-14,80,4,2,3.279840671,-1.074304062e-13,-0.03858387498,7.446961895,0.3602654106,921.0098415,268,0.0005531738349,40,0.005531738349,0.1362190568,-0.1316553727,76.29885057,4.831977972,0.6087495699,54.72250394,0.3440036764,224,193,157.6948277,0.1302724381,5,-3.071289285e-13,0.2941176471,0.4980205476
-0.7843111404,172,9,9,1.395125662,1296.022566,-1.343856611e-12,132,6,11,2.994680067,2.171318522e-13,0.491100857,6.118580264,0.3759690306,960.0441556,257,4.394638541e-05,977,0.04293561855,0.1258185014,-0.215161503,119.8562387,3.154124852,0.603395091,41.52016763,0.3385496797,228,175,138.9003775,0.1142606021,4,-5.842826015e-13,0.2857142857,0.4977600425
5.728564878,132,80,5,5.075019077,724.5983312,-8.705044429000001e-14,122,1,1,3.17167389,-5.874276052e-14,0.4213663457,8.356321839,0.3764331117,1107.833629,105,0.0009170105456,64,0.02934433746,0.1178358551,0.5341586428,94.11926606,7.181610072,0.6407467533,56.65060152,0.3815642631,189,144,126.5708306,0.07702888583,2,-2.5581656110000003e-14,0.125,0.5667632212
6.906152699,110,144,6,1.838722144,874.8233038,1.594949854e-12,173,4,7,2.788246153,-4.717468747e-13,0.8339692146,28.90114068,0.3067543103,860.9843007,396,0.0001754155155,131,0.005744858133,0.1707670043,0.7902907512,83.59656301,2.490931892,0.6341965591,47.98242757,0.3729796209,255,210,168.8006691,0.1687935798,3,-4.372288563e-13,0.1578947368,0.4953229837
-3.594297096,131,344,7,2.463962164,920.0676977,7.229979041e-13,180,3,15,3.616467785,-3.571370174e-13,0.3852080931,18.43285024,0.3628023991,1315.303699,161,0.0001048327917,27,0.001415242688,0.1219729531,0.4886780585,107.8816092,2.144090645,0.6560203244,48.61251584,0.3987522804,212,155,122.5915506,0.181675228,3,-1.016835333e-13,0.1764705882,0.5172961206
1.194266442,161,0,10,1.497491789,789.1867172,-9.445305696000001e-14,195,2,2,3.56111105,1.513986238e-13,-0.08414839798,14.35835351,0.3237106391,714.5649406,138,0.0001686340641,2,0.0003372681282,0.1548060708,0.2703204047,104.8388278,3.625549437,0.5912146466,54.47136448,0.3288877291,212,188,158.6244592,0.121079258,3,-1.326636009e-13,0.1304347826,0.5090011389
-1.314285714,120,9,9,3.596435757,952.0910365,-5.684341886e-15,34,2,2,3.892297967,9.728969767e-15,0.2,3.699186992,0.4121224139,1048.887629,5,0.002197802198,1,0.002197802198,0.2395604396,-0.4549450549,76.83333333,3.660247197,0.6222669046,40.92060245,0.3604432133,92,87,79.03258474,0.07692307692,6,-2.100005151e-14,0.3333333333,0.5146066309
-1.521488702,185,14,9,3.355251692,1108.923041,-6.185531091e-14,155,1,2,3.827316911,3.4326108640000004e-14,0.5972529907,4.927947598,0.3251177514,855.1321556,46,0.001329198051,28,0.01240584847,0.236154187,0.4040762074,78.568,6.462229372,0.640597869,39.67830114,0.3804089129,228,159,135.0164761,0.01462117856,2,-3.6619552960000004e-14,0.2,0.537401105
0.4597719608,142,9,8,1.895349246,1017.660977,-4.069320581e-13,113,8,9,3.008780131,4.333232379e-14,-0.1512766982,10.82956522,0.3147281664,963.6187752,19,0.0001605909748,676,0.108559499,0.09266099245,0.2045929019,86.26537217,3.150630998,0.6722464029,32.84449441,0.418236616,229,160,133.6126021,0.04352015417,3,-1.453286397e-13,0.2307692308,0.5018721833
-0.7216755693,142,11,10,1.943356625,1533.705687,-8.446009955000001e-14,107,4,1,4.25940978,-6.893183428e-15,-0.5501827383,11.7781457,0.328664313,993.0997533,5,0.0005622715772,1018,0.1430981164,0.008996345235,0.2122575204,96.52207792,0.9430567868,0.5402908743,12.55650595,0.286926878,137,86,78.13681836,0.007168962609,1,-1.188086583e-13,0.09090909091,0.5266279457
